tag,tag_count,word_count
totaldoctagswords,522,13089
apostrophe,2,127
apostrophe_authori,1,2
arrivaldeparture,3,13
authori,11,307
authori_i,1,1
authori_reader,1,5
authorwe,8,53
backstory,1,169
backstory_authorwe,1,1
backstory_m,1,6
backstory_speechinsert,2,54
chapcontents,5,143
chapcontents_i,5,143
chapmarker,5,10
chbio,1,163
chbio_cryptonym,1,1
cryptonym,4,6
dia,10,47
diam,179,4259
diam_arrivaldeparture,1,6
diam_i,6,7
diam_m,182,880
diaother,1,8
diaq,4,130
exclamation,5,25
fidambig,2,15
graft,2,3
i,25,166
m,189,905
m_arrivaldeparture,1,6
m_i,1,1
monologue,2,23
monologue_m,2,7
monologuethought,1,6
monologuethought_i,1,1
monologuethought_m,1,4
quotedlit,1,8
quotedtext,3,754
reader,8,47
rhetoricalq,12,220
sceneaction,6,2926
sceneaction_arrivaldeparture,1,6
sceneaction_authori,2,8
sceneaction_authorwe,1,1
sceneaction_cryptonym,1,3
sceneaction_dia,2,5
sceneaction_diam,65,1334
sceneaction_diaq,2,16
sceneaction_exclamation,2,5
sceneaction_i,4,7
sceneaction_m,69,440
sceneaction_monologuethought,1,6
sceneaction_reader,1,10
sceneaction_rhetoricalq,3,46
sceneaction_sententia,1,28
sceneaction_trigger,1,1
scenedia,6,3615
scenedia_arrivaldeparture,2,7
scenedia_authori,2,3
scenedia_dia,8,42
scenedia_diam,87,2292
scenedia_diaq,1,49
scenedia_exclamation,1,2
scenedia_graft,1,1
scenedia_i,5,5
scenedia_m,87,361
scenedia_quotedtext,1,406
scenedia_rhetoricalq,2,18
scenedia_speechimagined,1,1
scenedia_trigger,1,2
scenefragment,7,1576
scenefragment_authori,1,6
scenefragment_diam,26,607
scenefragment_diaq,1,65
scenefragment_fidambig,1,8
scenefragment_i,1,1
scenefragment_m,26,76
scenefragment_quotedlit,1,8
scenefragment_trigger,3,8
scenequasi,2,129
scenequasi_diam,1,26
scenequasi_m,1,7
scenereadingwriting,2,527
scenereadingwriting_graft,1,2
scenereadingwriting_m,2,7
scenereadingwriting_monologue,2,23
scenereadingwriting_quotedtext,2,348
scenereadingwriting_reader,1,17
sententia,3,113
sententia_authori,1,3
sententia_i,1,1
speechimagined,2,2
speechinsert,5,246
speechinsert_m,4,14
trigger,5,11
